ISO_3_code,Countryname,Who_region,Year,Vaccinecode,Vaccine_description,Schedulerounds,Targetpop,Targetpop_Description,Geoarea,Ageadministered,Sourcecomment
AGO,Angola,AFRO,2023.0,VITAMINA,Vitamin A supplements,2.0,,General/routine,NATIONAL,M9,0-11 mois
AGO,Angola,AFRO,2023.0,YF,YF (Yellow fever) vaccine,1.0,,General/routine,NATIONAL,M9,0-11 mois
AIA,Anguilla,AMRO,2023.0,BCG,BCG (Baccille Calmette Guérin) vaccine,1.0,,General/routine,NATIONAL,B,birth - 11 months
AIA,Anguilla,AMRO,2023.0,DTWP,DTwP (Whole cell) vaccine,4.0,B_2YL_W,General/routine,NATIONAL,M18,
AIA,Anguilla,AMRO,2023.0,DTWP,DTwP (Whole cell) vaccine,5.0,B_CHILD_W,General/routine,NATIONAL,Y4-Y5,
AIA,Anguilla,AMRO,2023.0,DTWPHIBHEPB,DTwP-Hib-HepB (Whole cell) vaccine,1.0,,General/routine,NATIONAL,M2,
AIA,Anguilla,AMRO,2023.0,DTWPHIBHEPB,DTwP-Hib-HepB (Whole cell) vaccine,2.0,,General/routine,NATIONAL,M4,
AIA,Anguilla,AMRO,2023.0,DTWPHIBHEPB,DTwP-Hib-HepB (Whole cell) vaccine,3.0,,General/routine,NATIONAL,M6,
AIA,Anguilla,AMRO,2023.0,HEPB_ADULT,Adult Hepatitis B vaccine,1.0,ADULTS,Adults,NATIONAL,1st contact,"adults and recommended for all health workers with no previous vaccination history (but uptake is low, it is not mandatory)"
AIA,Anguilla,AMRO,2023.0,HEPB_ADULT,Adult Hepatitis B vaccine,2.0,ADULTS,Adults,NATIONAL,+M1,"adults and recommended for all health workers with no previous vaccination history (but uptake is low, it is not mandatory)"
AIA,Anguilla,AMRO,2023.0,HEPB_ADULT,Adult Hepatitis B vaccine,3.0,ADULTS,Adults,NATIONAL,+M6,"adults and recommended for all health workers with no previous vaccination history (but uptake is low, it is not mandatory)"
AIA,Anguilla,AMRO,2023.0,HEPB_ADULT,Adult Hepatitis B vaccine,3.0,HW,Health workers,NATIONAL,+M6,"adults and recommended for all health workers with no previous vaccination history (but uptake is low, it is not mandatory)"
AIA,Anguilla,AMRO,2023.0,HEPB_ADULT,Adult Hepatitis B vaccine,2.0,HW,Health workers,NATIONAL,+M1,"adults and recommended for all health workers with no previous vaccination history (but uptake is low, it is not mandatory)"
AIA,Anguilla,AMRO,2023.0,HEPB_ADULT,Adult Hepatitis B vaccine,1.0,HW,Health workers,NATIONAL,1st contact,"adults and recommended for all health workers with no previous vaccination history (but uptake is low, it is not mandatory)"
AIA,Anguilla,AMRO,2023.0,HEPB_PEDIATRIC,Pediatric Hepatitis B vaccine,1.0,,General/routine,NATIONAL,B,from May 2019
AIA,Anguilla,AMRO,2023.0,HPV4,HPV-4 (Human Papilloma Virus 4-valent) vaccine,1.0,CATCHUP_A,Catch-up adults,NATIONAL,<Y25,Single dose is offered to males and females ages 9-15+.  (one dose also offered to older females up to 25 years of age)
AIA,Anguilla,AMRO,2023.0,HPV4,HPV-4 (Human Papilloma Virus 4-valent) vaccine,1.0,CATCHUP_C,Catch-up children,NATIONAL,<Y25,Single dose is offered to males and females ages 9-15+.  (one dose also offered to older females up to 25 years of age)
AIA,Anguilla,AMRO,2023.0,HPV4,HPV-4 (Human Papilloma Virus 4-valent) vaccine,1.0,BOTH,HPV administered to females and males,NATIONAL,Y9-15,Single dose is offered to males and females ages 9-15+.  (one dose also offered to older females up to 25 years of age)
AIA,Anguilla,AMRO,2023.0,INFLUENZA_ADULT,Adult seasonal influenza vaccine,1.0,,General/routine,NATIONAL,>Y18,and older persons
AIA,Anguilla,AMRO,2023.0,INFLUENZA_ADULT,Adult seasonal influenza vaccine,1.0,HW,Health workers,NATIONAL,,Health and care workers
AIA,Anguilla,AMRO,2023.0,INFLUENZA_ADULT,Adult seasonal influenza vaccine,1.0,PW,Pregnant women,NATIONAL,,Pregnant women
AIA,Anguilla,AMRO,2023.0,INFLUENZA_ADULT,Adult seasonal influenza vaccine,1.0,RISKGROUPS,Risk group(s),NATIONAL,,"Adults with chronic conditions, residents living in long-term care facilities"
AIA,Anguilla,AMRO,2023.0,INFLUENZA_PEDIATRIC,Pediatric seasonal influenza vaccine,1.0,,General/routine,NATIONAL,>=M6,
AIA,Anguilla,AMRO,2023.0,IPV,IPV (Inactivated polio vaccine),1.0,,General/routine,NATIONAL,M2,
AIA,Anguilla,AMRO,2023.0,IPV,IPV (Inactivated polio vaccine),2.0,,General/routine,NATIONAL,M4,
AIA,Anguilla,AMRO,2023.0,MMR,"MMR (Measles, mumps and rubella) vaccine",1.0,,General/routine,NATIONAL,Y1,12 month old and 24 months old
AIA,Anguilla,AMRO,2023.0,MMR,"MMR (Measles, mumps and rubella) vaccine",2.0,,General/routine,NATIONAL,Y2,12 month old and 24 months old
AIA,Anguilla,AMRO,2023.0,OPV,OPV (Oral polio vaccine),3.0,,General/routine,NATIONAL,M6,
AIA,Anguilla,AMRO,2023.0,OPV,OPV (Oral polio vaccine),4.0,,General/routine,NATIONAL,M18,
AIA,Anguilla,AMRO,2023.0,OPV,OPV (Oral polio vaccine),5.0,,General/routine,NATIONAL,Y4-Y5,
AIA,Anguilla,AMRO,2023.0,OPV,OPV (Oral polio vaccine),6.0,,General/routine,NATIONAL,Y15,
AIA,Anguilla,AMRO,2023.0,PCV13,PCV-13 (Pneumococcal conjugate vaccine 13-valent) vaccine,1.0,,General/routine,NATIONAL,M2,
AIA,Anguilla,AMRO,2023.0,PCV13,PCV-13 (Pneumococcal conjugate vaccine 13-valent) vaccine,2.0,,General/routine,NATIONAL,M4,
AIA,Anguilla,AMRO,2023.0,PCV13,PCV-13 (Pneumococcal conjugate vaccine 13-valent) vaccine,3.0,,General/routine,NATIONAL,M6,
AIA,Anguilla,AMRO,2023.0,PCV13,PCV-13 (Pneumococcal conjugate vaccine 13-valent) vaccine,4.0,,General/routine,NATIONAL,M18,
AIA,Anguilla,AMRO,2023.0,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,6.0,B_ADO_W,General/routine,NATIONAL,Y15,15 yrs
AIA,Anguilla,AMRO,2023.0,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,1.0,PW,Pregnant women,NATIONAL,1st contact,pregnant women
AIA,Anguilla,AMRO,2023.0,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,2.0,PW,Pregnant women,NATIONAL,+W4,pregnant women
AIA,Anguilla,AMRO,2023.0,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,3.0,PW,Pregnant women,NATIONAL,+M6-Y1,pregnant women
AIA,Anguilla,AMRO,2023.0,TDAP_S,"Tdap (Tetanus, diphtheria for older children and adults and acellular pertussis) vaccine",1.0,RISKGROUPS,Risk group(s),NATIONAL,>Y4,"Children over 4 yrs of age and older with incomplete vaccinations/history of febrile seizers. Adults travelers, Adults with unknown previous vaccination history"
AIA,Anguilla,AMRO,2023.0,TDAP_S,"Tdap (Tetanus, diphtheria for older children and adults and acellular pertussis) vaccine",1.0,TRAVELLERS,Travellers,NATIONAL,,Adults travelers
AIA,Anguilla,AMRO,2023.0,VARICELLA,Varicella vaccine,1.0,,General/routine,NATIONAL,M15,
AIA,Anguilla,AMRO,2023.0,VARICELLA,Varicella vaccine,2.0,,General/routine,NATIONAL,Y4-Y5,
AIA,Anguilla,AMRO,2023.0,YF,YF (Yellow fever) vaccine,1.0,TRAVELLERS,Travellers,NATIONAL,1st contact,travellers
ALB,Albania,EURO,2023.0,BCG,BCG (Baccille Calmette Guérin) vaccine,1.0,,General/routine,NATIONAL,B,
ALB,Albania,EURO,2023.0,DT,"DT (Tetanus toxoid and diphtheria, children's dose) vaccine",5.0,B_CHILD_W,General/routine,NATIONAL,Y6,
ALB,Albania,EURO,2023.0,DTWP,DTwP (Whole cell) vaccine,4.0,B_2YL_F,General/routine,NATIONAL,Y2,
ALB,Albania,EURO,2023.0,DTWPHIBHEPB,DTwP-Hib-HepB (Whole cell) vaccine,1.0,,General/routine,NATIONAL,M2,
ALB,Albania,EURO,2023.0,DTWPHIBHEPB,DTwP-Hib-HepB (Whole cell) vaccine,2.0,,General/routine,NATIONAL,M4,
ALB,Albania,EURO,2023.0,DTWPHIBHEPB,DTwP-Hib-HepB (Whole cell) vaccine,3.0,,General/routine,NATIONAL,M6,
ALB,Albania,EURO,2023.0,HEPB_PEDIATRIC,Pediatric Hepatitis B vaccine,1.0,,General/routine,NATIONAL,B,
ALB,Albania,EURO,2023.0,HPV4,HPV-4 (Human Papilloma Virus 4-valent) vaccine,1.0,FEMALE,HPV for females only,NATIONAL,Y13,Female from November 2022
ALB,Albania,EURO,2023.0,INFLUENZA_ADULT,Adult seasonal influenza vaccine,1.0,ADULTS,Adults,NATIONAL,>Y18,and older persons
ALB,Albania,EURO,2023.0,INFLUENZA_ADULT,Adult seasonal influenza vaccine,1.0,HW,Health workers,NATIONAL,,Health and care workers
ALB,Albania,EURO,2023.0,INFLUENZA_ADULT,Adult seasonal influenza vaccine,1.0,PW,Pregnant women,NATIONAL,,Pregnant women
ALB,Albania,EURO,2023.0,INFLUENZA_ADULT,Adult seasonal influenza vaccine,1.0,RISKGROUPS,Risk group(s),NATIONAL,,"Adults with chronic conditions, residents living in long-term care facilities, other groups"
ALB,Albania,EURO,2023.0,INFLUENZA_PEDIATRIC,Pediatric seasonal influenza vaccine,2.0,,General/routine,NATIONAL,>Y9,
ALB,Albania,EURO,2023.0,INFLUENZA_PEDIATRIC,Pediatric seasonal influenza vaccine,1.0,,General/routine,NATIONAL,M6-Y9,
ALB,Albania,EURO,2023.0,INFLUENZA_PEDIATRIC,Pediatric seasonal influenza vaccine,1.0,RISKGROUPS,Risk group(s),NATIONAL,,Children with chronic conditions
ALB,Albania,EURO,2023.0,IPV,IPV (Inactivated polio vaccine),1.0,,General/routine,NATIONAL,M2,
ALB,Albania,EURO,2023.0,IPV,IPV (Inactivated polio vaccine),2.0,,General/routine,NATIONAL,M4,
ALB,Albania,EURO,2023.0,MMR,"MMR (Measles, mumps and rubella) vaccine",1.0,,General/routine,NATIONAL,Y1,
ALB,Albania,EURO,2023.0,MMR,"MMR (Measles, mumps and rubella) vaccine",2.0,,General/routine,NATIONAL,Y5,
ALB,Albania,EURO,2023.0,OPV,OPV (Oral polio vaccine),3.0,,General/routine,NATIONAL,M6,
ALB,Albania,EURO,2023.0,OPV,OPV (Oral polio vaccine),4.0,,General/routine,NATIONAL,Y2,
ALB,Albania,EURO,2023.0,OPV,OPV (Oral polio vaccine),5.0,,General/routine,NATIONAL,Y6,
ALB,Albania,EURO,2023.0,PCV13,PCV-13 (Pneumococcal conjugate vaccine 13-valent) vaccine,1.0,,General/routine,NATIONAL,M2,
ALB,Albania,EURO,2023.0,PCV13,PCV-13 (Pneumococcal conjugate vaccine 13-valent) vaccine,2.0,,General/routine,NATIONAL,M4,
ALB,Albania,EURO,2023.0,PCV13,PCV-13 (Pneumococcal conjugate vaccine 13-valent) vaccine,3.0,,General/routine,NATIONAL,M12,
ALB,Albania,EURO,2023.0,ROTAVIRUS_5,RV-5 (Rotavirus 5-valent) vaccine,1.0,,General/routine,NATIONAL,M2,
ALB,Albania,EURO,2023.0,ROTAVIRUS_5,RV-5 (Rotavirus 5-valent) vaccine,2.0,,General/routine,NATIONAL,M4,
ALB,Albania,EURO,2023.0,ROTAVIRUS_5,RV-5 (Rotavirus 5-valent) vaccine,3.0,,General/routine,NATIONAL,M6,
ALB,Albania,EURO,2023.0,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,1.0,ADULTS,Adults,NATIONAL,Y18,
ALB,Albania,EURO,2023.0,TD_S,Td (Tetanus toxoid and diphtheria for older children and adults) vaccine,6.0,B_ADO_W,General/routine,NATIONAL,Y13,
AND,Andorra,EURO,2023.0,DTAPHIBHEPBIPV,DTaP-Hib-HepB-IPV (acellular) vaccine,1.0,,General/routine,NATIONAL,M2,
AND,Andorra,EURO,2023.0,DTAPHIBHEPBIPV,DTaP-Hib-HepB-IPV (acellular) vaccine,2.0,,General/routine,NATIONAL,M4,
AND,Andorra,EURO,2023.0,DTAPHIBHEPBIPV,DTaP-Hib-HepB-IPV (acellular) vaccine,3.0,,General/routine,NATIONAL,M12,
AND,Andorra,EURO,2023.0,HPV2,HPV-2 (Human Papilloma Virus 2-valent) vaccine,1.0,FEMALE,HPV for females only,NATIONAL,Y12,Females; A partir del 15 de noviembre del 2023 se incluyen en la vacunación los niños tambien
AND,Andorra,EURO,2023.0,HPV2,HPV-2 (Human Papilloma Virus 2-valent) vaccine,2.0,FEMALE,HPV for females only,NATIONAL,+M6,Females; A partir del 15 de noviembre del 2023 se incluyen en la vacunación los niños tambien
AND,Andorra,EURO,2023.0,INFLUENZA_ADULT,Adult seasonal influenza vaccine,1.0,ADULTS,Adults,NATIONAL,>=Y65,
AND,Andorra,EURO,2023.0,INFLUENZA_ADULT,Adult seasonal influenza vaccine,1.0,HW,Health workers,NATIONAL,,Health and care workers
AND,Andorra,EURO,2023.0,INFLUENZA_ADULT,Adult seasonal influenza vaccine,1.0,PW,Pregnant women,NATIONAL,,Pregnant women
AND,Andorra,EURO,2023.0,INFLUENZA_ADULT,Adult seasonal influenza vaccine,1.0,RISKGROUPS,Risk group(s),NATIONAL,,"Adults with chronic conditions, residents living in long-term care facilities, other groups"
AND,Andorra,EURO,2023.0,INFLUENZA_PEDIATRIC,Pediatric seasonal influenza vaccine,1.0,RISKGROUPS,Risk group(s),NATIONAL,,Children with chronic conditions
AND,Andorra,EURO,2023.0,MEN_ACYW_135CONJ,Meningococcal ACYW conjugate vaccine,1.0,,General/routine,NATIONAL,M15,
AND,Andorra,EURO,2023.0,MEN_ACYW_135CONJ,Meningococcal ACYW conjugate vaccine,2.0,,General/routine,NATIONAL,Y12,
AND,Andorra,EURO,2023.0,MEN_B,Meningococcal B vaccine,1.0,,General/routine,NATIONAL,M2,
AND,Andorra,EURO,2023.0,MEN_B,Meningococcal B vaccine,2.0,,General/routine,NATIONAL,M4,
ABW,Aruba,AMRO,2023.0,DTAPHIBIPV,DTaP-Hib-IPV (acellular) vaccine,1.0,,General/routine,NATIONAL,M2,nan
